,user,tweet,location,keyword
94,4_real,Today's statistics worldwide #COVID19 https://t.co/e4TJaaPsGu,Earth,covid19
95,AVeryFarMan,"@realDonaldTrump ...so, at worst, no different from what we have now, except without a cowardly liar in the @WhiteHouse who abandoned #America during #COVID19?

I'm in. Sign my ass up. Oh, wait - did that already when I voted for @JoeBiden &amp; @SenKamalaHarris.

#VoteBlue",,covid19
96,Kathleen Waterson,"@Rockygator Wake up dummy, there is not even an actual covid 19. The tests look for any corona virus and/or flu. This guy is a fraud. https://t.co/5PxYZljUG6","Manhattan Beach, CA",covid19
97,darya filippova,@siberian_times How could they make such a projection when covid19 has been around for less than a year?,"Menlo Park, CA",covid19
98,Brandon,"In the 1880s my great, great Grandmother was the very first female Doctor in, Spokane Washington. Founded the library that is now closed due to Covid-19. She was very popular when she got into real estate, owning over 500 acres of land. Unfortunately Not a good ending at all.","DeLand, FL",covid19
99,Social Distance Warrior,"The incompetence of this administration, and the president in particular, has doomed us all. This is Trump's pandemic. #COVID19",,covid19
100,MarkNtel Advisors,"The #videoconferencing market across the globe is #forecast to grow at a #CAGR of 9.50% during 2020-25 due to the rapid spread of #COVID__19
https://t.co/zt4RR562iq
#marketresearch #usa #marketanalysis #marketinsights #global #management #Technology #Healthcare #Microsoft #Cisco https://t.co/sbGYsMxmq9","New Delhi, India",covid19
101,The Telegraph,"India's Covid-19 caseload surpassed the 80-lakh mark on Thursday, 18 days after it had gone past 70 lakh, with 49,881 new cases while the recoveries surged to 73.15 lakh pushing the national recovery rate to 90.99%
https://t.co/aklrZixi6I","Kolkata, India",covid19
102,Maria Marten,"@Shawna_7777 @ignorantego @WalshFreedom ""Mr. President why have you surrendered the US of A to Covid19?""   ""Hunter Hunter Hunter Hunter Hunter Hunter!"" ""Mr President? "" ""you still here? HUNTER!"" ""Forget it, I'll ask an adult""",,covid19
103,FNH BigDog,"@FrankAmari2 @realDonaldTrump Finally! A serious Explanation of Trump’s 
COVID19 Face Mask Aversion!  Why Wasn’t
This Known Sooner?!  It Makes Perfect Sense!
https://t.co/7g55uDZVmi",,covid19
104,Christopher Hammond,"@realDonaldTrump Too bad you pissed them off at the end, DONALD! YOU LEFT THEM TO FREEZE IN THE FIELD WITH NO TRANSPORT BACK TO THEIR CARS!
  MAYBE THEY CAN'T SUE YOU IF YOU GIVE THEM COVID19 AT THESE RALLYS, BUTTT GET READY FOR SOME LAWSUITS FOR THE MEDICAL ISSUES RELATED TO YOUR NEGLIGENCE!! 👎","Santa Maria, CA",covid19
105,𝐎𝐫𝐚𝐜𝐥𝐞 𝐨𝐟 𝐈𝐛𝐚𝐧𝐝𝐚♟,"Court fines 36 people UGX. 300,000 each for forging Covid-19 test results via @pmldailynews_UG https://t.co/ANNPsZqSGL",Kampala,covid19
106,Vivek Narayanan,"The six-minute walk test around a demarcated space and the Harvard step test, along with an ECG, are part of assessments at the post-COVID-19 outpatient (OP) ward at the hospital https://t.co/CNOo6UwpqH","chennai, South, India",covid19
107,Suresh Madha,"@annamalai_k @yfs_official Dear @PMOIndia  @tkp1080 @mygovindia   @amitabhk87 @NITIAayog @amitmalviya

#COVID19 has shown the need, role &amp; impact of the NGOs, not only in India, across the Globe. 
Now, it's our time to recognise &amp; have collaboration between NGOs &amp; Govt to enhance Inclusive Growth. https://t.co/uTtaX7h07B","Hyderabad, India",covid19
