,user,tweet,location,keyword
132,Brother Kev 🙏 🇺🇸 🇺🇸 🇺🇸,"🤨

If Joe Biden is leading in the polls -

Why are postal workers being arrested for dumping ballots
and why are people being arrested for setting ballot boxes on fire? 🤔

https://t.co/zjsUXPLWqO",,arsonist
133,CaptainKotaku,"@uMarhobane @FrogReloaded One arsonist, one bullet","Warsaw, Poland",arsonist
134,~Adestria/Genixlaw~,@ToastedHarvey How the heck are you so tall :O,She/They,arsonist
135,WELSH RAREBIT,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire https://t.co/ikyjz9PgdG via @gatewaypundit,Wales Is Not In England,arsonist
136,~Adestria/Genixlaw~,@izzywasfound Hahah I’m taller than you :)) /lh,She/They,arsonist
137,~Adestria/Genixlaw~,@ToastedHarvey Eat it :),She/They,arsonist
138,~Adestria/Genixlaw~,@TECHNOSOOT I’m completely fine with that :),She/They,arsonist
139,Honey Badgers For Trump 🇺🇸,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire https://t.co/HUSjva7P7V,,arsonist
140,Helper,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/mVNN3h061z,United States of America,arsonist
141,(un)necessary sapphic flags,Arsonist bisexuals! (fear us...) https://t.co/X68BSPxnEn,no exclus and bi/pan lesbians,arsonist
142,Dapo Osuntuyi,See this Arsonist!! https://t.co/xv5rB0p0QA,Trending on your TL,arsonist
143,The Resister Mister 🌊,@nathanTbernard @Spotify I’m so done with @joerogan!!  First fake news about arsonist setting fires in CA and now Alex Jones?!  What a douche!!,"South Carolina, USA",arsonist
144,Escape From LA ✡️,Can't let dese crackuhs vote fa Trump https://t.co/KQbgGasR90,"Los Angeles, CA",arsonist
145,XIII : Sad Clown,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/xW71ZQokR2,Apalachia,arsonist
146,@ammb47,@TheRealHoarse I agree 100%. All of it. I'm not interested in reading or hearing the arsonist's report on the fire he helped set.,,arsonist
147,"Rob ""Beto"" Aragon",Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/ZGgYAniVf7,"Green Bay, Wisconsin",arsonist
148,PixiePrissy,"Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire https://t.co/vVxola2nVn via @gatewaypundit   I know we are not supposed to judge, but looking at this guy’s pants I am pretty sure he is not a conservative.  Just another leftist doing dirty leftist work",,arsonist
149,💧Aquarius 29,"@York_Highwayman The time for fire reduction burns is limited, fire seasons are closer together now, time is very limited. All fires along eastern seaboard last for season were started by natural causes, all the rubbish spoken about arsonist were simply lies. 
Climate change is very real!","Victoria, Australia",arsonist
150,Joseph P. Garofalo,@RobbSmith Fed both the arsonist and fire department- Let them Burn,"Peachtree City, GA",arsonist
151,T.J. Taylor,"@bri4change2020 Is that undecided voter living in Seattle, having had their house burned, not by alleged arsonist Trump, but rather by a member of Antifa, which the Democrat mayor didn't stop?  Biden hasn't done anything to stop them.  And do you recall #OccupyWallStreet ?Biden didn't stop them.",U.S.A.,arsonist
152,🎃mir-o-lantern,@bossassbishoujo GURII CRIES!! 👉👈💕 my undying love for green bob arsonist is the only thing fueling my art ever,,arsonist
153,🎃mir-o-lantern,@snoozeforever im fueled solely by arsonist brainrot......................... thank u bro 😔💕,,arsonist
154,Fmr Soviet American Patriot 🇺🇸,"Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire

https://t.co/0nLmHBS6R8","New Jersey, USA",arsonist
