,user,tweet,location,keyword
77,🍓✒️一五(Chris' sPa),@juanny_depp Damn how do you still make them fire 🔥 sets??,"Inner Richmond, San Francisco",fire
78,SAD KNICKS FAN,This show was fire https://t.co/BbLY86DzM6,New York City,fire
79,Dawn McMullan,@richardmarx Biden’s win is tantamount to a new car on your 20th birthday after yours caught fire on your 16th. Practicing.,"Dallas, Texas",fire
80,Livi,"""What zero pussy does to a motherfucker is make them play Fire Emblem.""
— @Gremazod",,fire
81,tatatatata 💬,"Fire/ in my chest, it is emotionally intense. I need to work outside. Otherwise, I might be breaking down.... 😭",,fire
82,Bob Darin,"If you still plan on mailing in your ballot, don’t. Just throw it in the fire. At least you may get some warmth out of it. https://t.co/spK9BKZtVx","Meridian, Mississippi",fire
83,MuXlimah💫,"RasoolAllah(saw) said,

 ""Shall I not tell you whom the (Hell) Fire is forbidden to touch? It is forbidden to touch a man who is always accessible, having polite and tender nature.""",Hyderabad,fire
84,simonubiri1,@gathara Perfect example of jumping from a frying pan into the fire...Africa is doomed 😡,Mombasa,fire
85,sj wears a mask,OR FUCKING FIRE ME. IT WOULD BE A FUCKING BLESSING.,"Melbourne, Australia",fire
86,TransitBiker,@Politics_WI @pcbrynn What the I’m going to set something on fire fuck?! 🤬🤬🤬🤬🤬🤬🤬,Southeastern Pennsylvania,fire
87,Nitty F. Baby SEPT 10,This is so fire bro https://t.co/YEzPSCvHMd,HighBridge BX ✈️ 610 The E ,fire
88,なかむー🍙,There is a fire.,slither.io,fire
89,Esther 🕸,@madchensfalice HELPP 😭 I’ve been saying that long before the dumpster fire was saying it,She/Her/Hers,fire
90,鮭とば🐟,@TP5EYzHvOOXahGD FIRE BIRD!!,コンビニにあるおつまみ売り場,fire
91,Sirus the Virus 🦠,"@MiOWNd @Vesemirr @Matt_Dillahunty Freedom of speech only protects citizens from government. The government cannot stifle your ability to express yourself, with the exception of yelling fire in a crowded theater or inciting violence. 

It doesn't mean that you can't spread misinformation. 

Not defending Jones.",,fire
92,Microsoft News,"Fighter jets fire flares, escort plane from airspace near Trump event in Arizona https://t.co/c0sbFo6Mff",,fire
93,Melissa P,"Earth, Air, Fire, Water. https://t.co/FSZibxdwl4","Los Angeles, CA",fire
94,Ettutharayil Finance,"Opt for a vehicle insurance from Ettutharayil and avail financial protection against loss/damage to the vehicle that is caused by accident, theft, fire, explosion, natural calamities, etc.
https://t.co/exuul2BH2H

#Ettutharayil #GoldLoan #savings #finance #insurance #RD #FD https://t.co/G9VXvxTG22",Allappuzha,fire
95,𝖺𝗇𝖽𝗋𝖾𝗐 ࣪ ͎ 𝗇𝗈 𝗉𝖺𝗂𝗇 𝗆𝖺𝗇. 🕷🕸,"once upon a dream - lana del rey. 
light a fire - seventeen. 
how deep is your love - bee gees. 
todas las de 5sos ahuevo. https://t.co/dgNe8AHLSD","𝚝𝚘𝚔𝚢𝚘, 𝚓𝚊𝚙𝚊𝚗. ",fire
96,Sasi,@HariharanR @praveenLeo08 @rameshlaus @rajinikanthpage The same things suits for dhoni my ass Uncleee😂😂😂😂 thing before critisize some one.. thinkkkk🌚🌚 it will be back fire 🔥🔥 in ur Assss😂😂😂😂,chennai,fire
97,Galdino Saquarema,"@podda123 @fire_lovly ..  Good  morning ..
.♥   .♥  .♥  . ♥
   .♥.. #IFB .  ♥
     ..♥.. ♥..♥️.
          .♥  .♥..
            .. ♥..
... Follow  Back ...",Brasil 🌎 🇧🇷,fire
98,sey,they probably know exo won't renew so they throw him on fire like this?? miss me with that bs sm you should've shut up!!,side acc × s/her,fire
99,kate,they literally added fuel to the fire. they should’ve just stayed quiet if they are planning to do nothing,she/her,fire
100,Antoxide,Fire in the middle of the road https://t.co/L8GlnCBerw,"Kiambu, Kenya",fire
101,𝑹𝒚𝒍𝒆,@idyllicate For justice by defaming him? Hmmm seems like SM keeps being fire up these days. Kudos to new gg.,𝐅𝐀 / 𝐂𝐀 / 𝐏𝐀 ,fire
102,💎🏁Keenan Watson🏁💎,"Alot of folks were sleeping tonight when Ewers decommitted, wait until they wake up in the morning. Whew lawd, Tom Herman slander is going to be on fire flame status. 🤦🏾‍♂️","Port Arthur, TX",fire
103,giggle enthusiast ♡,@svt_nap LARS I LIKE BOO SEUNGKWAN WOULD WALK THROUGH FIRE FOR YOU,she/her • 25 • ao3: pixiepower,fire
104,j a d a 🦋,@genusmustela @fuego_ariano @OneLuckyGirl_28 But youre fire isnot what makes you intuitive. (If you actually are),"San Francisco, CA",fire
105,Ian is your friend,@tekdotlun I mean it’s fire,here,fire
106,Pandit AlokJagawat,"Water/Vastu- Viśvakarma Prakash, Sage Vaśiṣṭa and Garg describe the effects of water sources in different directions of the site. SE- Threat from fire. At a practical level we have found violent crimes, Paranormal activities, problems with digestive system of individuals. https://t.co/hPEJC5ez1G","4/298-Malviya Nagar,Jaipur",fire
107,emer martin,@AngelaNWalker We are on fire in California cis of drought and record heat and record winds. I voted @GreenPartyUS and @AngelaNWalker because the species might not make it 4 more years at this rate https://t.co/uJTtFx29tM,,fire
108,nick,Shoutout to the dumpster fire of a console that is the PS4,matchin w amy ♡,fire
109,🏳️‍🌈very affectionate bbq🎃,"It's been five years and I can still hear ""Desiree'? This is Chris from Defiance fire and rescue. Where are you? BG? Okay, your dad is sick and I need you to come home as fast as you safely can. Can you do that? Are you okay to drive?"" so clearly in my mind.",oovoo javer ,fire
110,julia 🌈 LOONA LOCKDOWN,putting something informational in a carrd is a sure fire way to get me to not read it,"Chicago, IL",fire
111,Urban Desert News Service,@PHXFire crews from engine 918 fighting a stubborn early morning car fire near 15th Avenue and Camelback. https://t.co/SooAtFvovO,"Phoenix, AZ",fire
112,akram baloch,@ramenmhasni But why you are on fire.,"Karachi, Pakistan",fire
113,Chris Baty,"@getcurious A jumbo order to go! I like it. Stand by for generation....

Father
Treatment
Cakes
Table
Whistle
Branch
Market
Copper
Vase
Fire

And I'm throwing in this pet name for free: Oatmeal

Enjoy!",California,fire
114,Matthew Murray,"@serenawilliams You've got the ""eye of a Tiger"" Serena. You're dancing through the fire &amp; they're bound to hear you roar; Louder than the lion because YOU are a true champion so let em hear you roar?
Wearing that Mask should be ur choice. They'll still hear ur roar and they'll still see ur eyes!",,fire
115,Nithesh,"@RCBTweets @devdpd07 We need agressive batting from you Virat,plz win the 🏆 this time,
RCB can win the title this season with proper team selection.
U need 2 fire up Virat.",,fire
116,Galdino Saquarema,"@Aliiyah_Khan @fire_lovly ..  Good  morning ..
.♥   .♥  .♥  . ♥
   .♥.. #IFB .  ♥
     ..♥.. ♥..♥️.
          .♥  .♥..
            .. ♥..
... Follow  Back ...",Brasil 🌎 🇧🇷,fire
117,Cakeboss419,Quit sticking real-world politics into fiction. We don't FUCKING NEED THAT SHIT ON TOP OF ALREADY STRESSFUL TIMES&gt; SAVE IT FOR WHEN THE FUCKING PLANET ISN'T ON FUCKING FIRE.,,fire
118,Meliodas,Fire 💯🔥👟,,fire
119,Hindustani_ladki,"Secularism in India is killing
devotees.NDA goverment which couldn't even lathicharge anti CAA rioters, opened fire at durga devotees in munger,Bihar, one dead ,many injured. #JusticeForMunger",,fire
120,Lucas,"keep running and never look back
and its 1, 2, 3, 4 times
that I try for one more night
let fire in my eyes
i going out of my mind",,fire
121,paul🇨🇦,"@pff_sucks @seahawksnest straight fire, well done",somewhere on the left coast,fire
122,Richie,@vajolleratzii You need to look into $SHR our fire tokenomics and adoption! No shill needed just pack and bag and chill only at $.02,,fire
123,Peggy Quinn,@JohnPhi78527550 @voteblue_1973 @1strongrobin @RadarResist @lillybelleinluv @HappyNanaX4 @SweGringo @tammymay1985 @Scott_5D @Meidas_Kelly @KimberlieAPeti1 @1stKiersten @BoloDP @swede1956 @SweetTea128 @czarim1 @QueenDianneinSC @Mark_E_Miller @TheRavensNest4 @quilback @Smp7665 Jonny is on fire tonight!! Thanks for including me!! Followed the few I didn’t follow already. #ResistersUnite #StrongerTogether #FBR #ONEV1 #BlueTsunami2020,"Huntington Beach, CA",fire
124,guy with no Big,"bitches be like ""I literally fucking hate your guts and hope you die in a house fire you cunt""",,fire
125,justenough,"@ReallyMarcia @gtconway3d Also fire these assholes sooner. Like any other job, you break the law you get fired.",,fire
126,underdawgs,Those chemicals can fire off a LOT of different ways. It’s all mind stimulation. And I can’t think of anything more stimulating than purpose,"District Heights, DMV",fire
127,Jamal Ayub,"MP: Fire hydrants not yet installed, New Market left vulnerable https://t.co/4QFPg24gEB","Bhopal, Madhya Pradesh",fire
128,maher,jin being under fire for eating clams with his gamer friends on the night of the olympics closing ceremony even though bts turned down performing there because of schedules https://t.co/TkZQRKhwOy,,fire
129,آبی کوثر,Liar liar pants 👖 on fire 🔥 👇🤣 https://t.co/F8OkOrNTsb,Pakistan,fire
130,TOI Bhopal,"MP: Fire hydrants not yet installed, New Market left vulnerable https://t.co/0VEZQKYLqU",,fire
131,ABC7 News,"Thousands of Irvine residents evacuated due to the Silverado Fire were returning home Wednesday as firefighters worked to contain the blaze, which has blackened at least 13,354 acres and is 25% contained. https://t.co/SitfJoYdMI https://t.co/hzKtCFGx6B",San Francisco Bay Area,fire
132,Tata 👑✨,I didn’t know people still fucked w fire and ice. They hookah so trash.,,fire
133,"DM ME IF RS1 HAPPENS😎 STREAM:LOVESICK GIRLS, HWA","#CL_HWAx5STAR  HER AWRA AND CHARISMA IS ALWAYS ON FIRE
WELCOME BACK QUEEN https://t.co/3q8S2X6lMX",,fire
134,Jezreel Ines,azula with her fire nation suit outfit https://t.co/zt0dm6WGYy,upd journ,fire
135,Niesh❤️Niesh,@ViniVidiViciCha Im treading these tweets like is anyone gonna mention the rapid fire of questions from #tamronhall and then her not giving chance to answer before she fired another? Like yea great questions but it would been nice to hear the response.,"California, USA",fire
136,emmanuel,#MadeinLagos is fire 🔥🔥,,fire
137,EMEKA NDUKA,"Anybody that want to put asunder what God has joined together, let  Holy Ghost fire fall upon that person in the name of Jesus.
Amen",Nigeria,fire
138,Galdino Saquarema,"@fire_lovly ..  Good  morning ..
.♥   .♥  .♥  . ♥
   .♥.. #IFB .  ♥
     ..♥.. ♥..♥️.
          .♥  .♥..
            .. ♥..
... Follow  Back ...",Brasil 🌎 🇧🇷,fire
139,USA_3Branches,"Are you satisfied with the chaos and lies?  Save Democracy. Save Your Healthcare and Social Security, Fire Trump.  #FT18 https://t.co/pYHwgxjDta",,fire
140,The Mainichi (Japan Daily News),3 Japan teens allegedly inhaling gas nabbed over apartment fire after explosion     https://t.co/w8qOKmjAnb,"Tokyo, Japan",fire
